"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2015 YK)","14","25.9","11 - 51","5","5.754, 362","11.870, 50","573579","2023-10 [23.4]","none","none","bK15Y00K"
"(2012 AQ)","5","30.7","1.3 - 5.6","5","5.247, 354","11.948, 90","572907","none","none","none","bK12A00Q"
"(2011 CF66)","5","27.4","5.8 - 26","9","7.677, 450","11.993, 282","570887","none","none","none","bK11C66F"
"(2014 KF39)","16","25.3","15 - 68","3","4.921, 378","11.895, 74","564965","2031-02 [22.1]","2031-11 [17]","none","bK14K39F"
"(2012 UL171)","4","27.0","6.9 - 31","8","4.946, 354","11.790, 66","564327","? 2025-03 [22.8] ?","none","none","bK12UH1L"
"(2017 FL64)","4","28.5","3.5 - 16","6","5.387, 354","11.261, 34","563343","none","none","none","bK17F64L"
"(2017 GM6)","13","26.0","11 - 49","5","5.298, 362","11.988, 90","559507","none","none","none","bK17G06M"
"(2016 DH)","6","27.5","5.5 - 25","6","4.990, 370","11.984, 74","556201","? 2036-01 [23.0] ?","none","none","bK16D00H"
"(2009 HC)","32","24.7","20 - 89","5","4.431, 362","11.762, 66","554669","2025-08 [22.9]","2025-10 [1200]","2025-10 [39]","bK09H00C"
"(2017 XS2)","8","26.0","11 - 49","5","6.178, 338","11.978, 130","553975","2028-12 [22.4]","none","none","bK17X02S"
"(2012 SX49)","4","26.2","10 - 45","7","6.150, 370","11.638, 74","553187","? 2024-08 [20.9] ?","none","none","bK12S49X"
"(2017 DR35)","5","26.3","10 - 43","7","5.887, 378","11.833, 130","553126","? 2035-01 [22.8] ?","none","none","bK17D35R"
"(2011 AA37)","28","22.8","48 - 214","0","5.860, 378","11.988, 122","550225","2026-01 [19.2]","2026-08 [89]","none","bK11A37A"
"(2006 HE2)","7","26.5","8.7 - 39","6","4.993, 346","11.976, 98","548593","? 2029-10 [19.3] ?","none","none","bK06H02E"
"(2016 TP11)","19","24.3","24 - 107","3","6.063, 394","11.831, 170","546661","2033-01 [21.9]","2035-09 [130]","none","bK16T11P"
"(2019 LE1)","4","26.6","8.3 - 37","6","5.542, 354","11.861, 162","546460","? 2040-05 [20.8] ?","none","none","bK19L01E"
"(2017 FM2)","6","25.6","13 - 59","5","5.485, 362","11.449, 50","545366","? 2030-01 [21.2] ?","2030-03 [65]","none","bK17F02M"
"(2016 FZ13)","6","28.3","3.8 - 17","5","5.142, 370","11.824, 50","543224","none","none","none","bK16F13Z"
"(1999 CG9)","12","25.2","16 - 71","6","5.215, 370","11.750, 66","541164","2033-08 [22.7]","2034-02 [60]","none","bJ99C09G"
"(2014 YP44)","3","26.1","10 - 47","8","6.069, 450","11.931, 74","537747","? 2031-10 [19.5] ?","none","none","bK14Y44P"
"(2007 UY1)","32","22.9","46 - 205","3","5.505, 362","11.969, 122","537652","2019-09 [23.4]","2020-10 [32]","2022-02 [18]","bK07U01Y"
"(2016 JB18)","13","27.3","6.0 - 27","6","5.260, 322","10.823, 34","533335","? 2040-11 [23.5] ?","none","none","bK16J18B"
"(2012 XM55)","18","27.9","4.6 - 20","6","5.644, 354","11.980, 162","533055","none","none","none","bK12X55M"
"(2008 CM74)","8","28.1","4.2 - 19","6","5.035, 330","11.954, 74","532051","? 2025-06 [21.1] ?","none","none","bK08C74M"
