"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2015 FJ120)","5","26.1","10 - 47","8","10.362, 370","11.985, 218","3667","none","none","none","bK15FC0J"
"(2014 SD145)","6","26.9","7.3 - 32","6","9.802, 394","11.972, 186","3665","? 2031-08 [23.9] ?","none","none","bK14SE5D"
"(2010 KE)","8","26.7","8.0 - 36","7","10.109, 362","11.892, 258","3658","none","none","none","bK10K00E"
"(2017 DG16)","4","29.3","2.4 - 11","6","9.435, 354","11.914, 146","3654","none","none","none","bK17D16G"
"(2004 FJ31)","6","24.0","28 - 124","8","10.055, 354","11.991, 282","3646","? 2024-01 [23.2] ?","none","none","bK04F31J"
"(2016 AF193)","22","21.9","73 - 324","3","11.341, 394","11.895, 298","3634","2019-11 [20.1]","2028-12 [15]","none","bK16AJ3F"
"(2016 NR)","10","23.9","29 - 129","5","10.758, 386","11.922, 322","3632","2021-05 [21.7]","none","none","bK16N00R"
"(2011 WC)","16","22.8","48 - 214","2","9.491, 370","11.903, 314","3630","2019-10 [20.6]","none","none","bK11W00C"
"(2015 HZ176)","3","23.7","32 - 142","5","10.495, 386","11.980, 338","3590","2033-01 [24.0]","none","none","bK15HH6Z"
"(2014 HV196)","3","26.7","8.0 - 36","9","9.724, 362","11.800, 194","3577","? 2039-04 [23.3] ?","none","none","bK14HJ6V"
"(2013 ES11)","17","23.7","32 - 142","7","10.045, 386","11.922, 346","3551","2034-09 [22.7]","none","none","bK13E11S"
"(2017 UT4)","2","25.5","14 - 62","7","10.671, 370","11.936, 130","3534","? 2030-09 [22.0] ?","none","none","bK17U04T"
"(2008 TD)","9","25.4","14 - 65","7","10.600, 370","11.987, 330","3523","? 2024-07 [23.3] ?","none","none","bK08T00D"
"(2011 EE41)","6","24.3","24 - 107","7","9.964, 354","11.891, 178","3512","? 2028-02 [20.9] ?","none","none","bK11E41E"
"455148 (1994 UG)","70","21.1","105 - 469","0","10.074, 338","11.955, 290","3508","2019-10 [21.9]","2027-05 [15]","none","a0455148"
"(2016 NS)","11","25.4","14 - 65","7","9.458, 378","11.878, 90","3508","? 2029-06 [23.6] ?","none","none","bK16N00S"
"(2009 HK73)","12","26.3","10 - 43","6","9.866, 362","11.921, 290","3504","none","none","none","bK09H73K"
"367943 Duende (2012 DA14)","80","24.0","28 - 123","0","8.726, 370","11.994, 218","3489","2026-01 [23.1]","none","none","a0367943"
"(2016 RY)","7","25.6","13 - 59","7","10.063, 346","11.919, 106","3477","? 2021-08 [22.6] ?","none","none","bK16R00Y"
"(2005 WA)","12","23.9","29 - 129","6","9.017, 362","11.980, 314","3469","2030-10 [23.5]","none","none","bK05W00A"
"(2010 SJ)","18","23.8","30 - 135","6","9.275, 362","11.951, 234","3459","2040-09 [23.8]","none","none","bK10S00J"
"(2010 TK)","15","25.3","15 - 68","7","10.335, 362","11.971, 306","3432","? 2027-03 [20.9] ?","none","none","bK10T00K"
"(2014 SR143)","13","24.2","25 - 112","5","10.515, 450","11.965, 322","3428","2021-01 [23.1]","none","none","bK14SE3R"
"(2016 VR)","8","26.2","10 - 45","5","10.115, 362","11.897, 330","3426","2021-10 [22.3]","2021-11 [740]","2021-11 [17]","bK16V00R"
"(2018 YR2)","1","26.6","8.3 - 37","7","9.474, 370","11.825, 98","3422","? 2026-11 [22.7] ?","none","none","bK18Y02R"
"(2016 EF86)","12","25.2","16 - 71","6","9.796, 426","11.794, 114","3414","? 2032-01 [23.6] ?","none","none","bK16E86F"
"(2017 HE)","5","26.7","8.0 - 36","7","9.663, 378","11.862, 322","3398","? 2026-04 [23.5] ?","none","none","bK17H00E"
"(2016 CK31)","8","27.1","6.6 - 30","6","9.366, 354","11.924, 162","3389","none","none","none","bK16C31K"
"(2013 KB2)","17","24.1","26 - 118","6","10.623, 370","11.975, 250","3364","? 2027-09 [24.0] ?","none","none","bK13K02B"
"(2016 JF17)","4","25.4","14 - 65","8","10.591, 402","11.998, 282","3362","? 2021-04 [23.5] ?","none","none","bK16J17F"
"474163 (1999 SO5)","72","20.9","115 - 514","0","9.363, 362","11.988, 178","3336","2023-09 [22.0]","2025-04 [260]","none","a0474163"
"(2015 XV168)","4","27.5","5.5 - 25","7","8.953, 186","11.800, 90","3335","none","none","none","bK15XG8V"
"(2012 LF4)","10","24.5","22 - 98","7","9.358, 354","11.959, 258","3331","? 2022-04 [22.7] ?","none","none","bK12L04F"
"(2011 AA23)","14","23.8","30 - 135","6","9.520, 378","11.994, 130","3328","2020-05 [23.9]","none","none","bK11A23A"
"(2008 SA)","11","25.0","17 - 78","6","9.636, 346","11.952, 202","3301","? 2037-07 [22.9] ?","none","none","bK08S00A"
"(2016 QX10)","6","23.7","32 - 142","6","9.895, 202","11.822, 138","3261","2019-08 [23.4]","none","none","bK16Q10X"
"(2016 GS2)","46","23.0","44 - 195","2","9.730, 346","11.934, 226","3260","2019-07 [21.4]","none","none","bK16G02S"
"(2018 TG2)","1","29.4","2.3 - 10","7","9.252, 346","11.993, 194","3249","none","none","none","bK18T02G"
"(2014 GR1)","4","24.0","28 - 123","8","9.736, 346","11.993, 306","3229","? 2036-01 [23.8] ?","none","none","bK14G01R"
"(2015 DD1)","6","30.4","1.4 - 6.5","6","10.319, 306","11.963, 202","3223","none","none","none","bK15D01D"
"(2010 MB)","9","24.6","21 - 94","7","10.554, 378","11.889, 330","3217","? 2022-05 [20.3] ?","none","none","bK10M00B"
"(2008 CE22)","11","26.4","9.1 - 41","6","9.845, 370","11.885, 306","3212","? 2030-08 [23.6] ?","none","none","bK08C22E"
"(2000 TL1)","18","23.5","35 - 155","0","10.037, 330","11.966, 218","3199","2031-03 [19.2]","none","none","bK00T01L"
"(2010 FK)","12","23.8","30 - 135","6","9.042, 370","11.967, 298","3162","2020-03 [22.1]","none","none","bK10F00K"
"(2007 VV6)","15","24.8","19 - 85","7","9.728, 362","11.709, 98","3153","? 2035-01 [24.0] ?","none","none","bK07V06V"
"(2018 SO2)","3","25.9","11 - 51","6","10.415, 354","11.865, 266","3144","? 2021-07 [23.1] ?","none","none","bK18S02O"
"(2018 BG11)","1","27.3","6.0 - 27","9","9.342, 362","11.704, 74","3140","none","none","none","bK18B11G"
"(2015 FF)","5","26.6","8.3 - 37","7","10.119, 354","11.964, 306","3139","? 2022-08 [21.4] ?","none","none","bK15F00F"
"(2017 EM)","4","25.8","12 - 54","7","9.964, 362","11.750, 170","3129","? 2039-02 [21.8] ?","none","none","bK17E00M"
"85990 (1999 JV6)","245","20.2","159 - 709","0","10.193, 434","11.989, 394","3118","2020-01 [20.3]","none","none","a0085990"
"(2016 VZ)","8","25.9","11 - 51","6","10.769, 418","11.999, 370","3100","2020-06 [24.0]","none","none","bK16V00Z"
"(2014 JG15)","7","25.7","13 - 56","8","9.940, 362","11.846, 330","3087","? 2021-10 [23.9] ?","none","none","bK14J15G"
"(2018 YA1)","8","23.5","35 - 155","7","9.838, 394","11.883, 106","3078","2029-11 [22.6]","none","none","bK18Y01A"
"(2006 EC)","11","26.6","8.3 - 37","6","10.200, 402","11.989, 306","3066","none","none","none","bK06E00C"
"(2002 EM7)","16","24.4","23 - 103","5","10.999, 370","11.992, 338","3037","2025-03 [22.1]","none","none","bK02E07M"
"(2017 LE1)","4","25.7","13 - 56","6","9.748, 362","11.954, 154","3035","? 2028-06 [23.4] ?","none","none","bK17L01E"
"(2018 EK2)","5","25.8","12 - 54","7","10.807, 378","11.977, 298","3032","? 2031-03 [21.8] ?","none","none","bK18E02K"
"(2010 TB54)","7","26.8","7.6 - 34","7","9.041, 362","11.969, 306","3027","? 2027-03 [21.8] ?","none","none","bK10T54B"
"(2015 QY8)","4","27.8","4.8 - 21","7","8.544, 186","11.954, 82","3024","none","none","none","bK15Q08Y"
"(2014 UX57)","8","26.4","9.1 - 41","8","9.228, 354","11.989, 274","3019","? 2035-04 [23.0] ?","none","none","bK14U57X"
"(2018 LF3)","5","25.6","13 - 59","6","9.810, 370","11.898, 146","2985","? 2040-12 [23.8] ?","none","none","bK18L03F"
"(2017 TR4)","4","25.9","11 - 51","8","9.259, 362","11.686, 114","2975","none","none","none","bK17T04R"
"(2014 VG2)","27","22.7","50 - 224","0","8.962, 362","11.675, 138","2946","2019-07 [22.5]","none","none","bK14V02G"
"(2016 WM7)","8","26.0","11 - 49","7","9.825, 378","11.916, 106","2944","? 2023-08 [23.8] ?","none","none","bK16W07M"
"(2011 UK10)","12","25.1","17 - 74","7","9.252, 362","11.965, 234","2929","? 2026-10 [19.3] ?","none","none","bK11U10K"
"(2014 TM)","6","26.2","10 - 45","7","8.725, 354","11.697, 130","2920","? 2021-08 [17.1] ?","none","none","bK14T00M"
"(2007 SG11)","22","22.6","53 - 235","7","10.374, 186","11.806, 130","2913","2026-11 [23.9]","none","none","bK07S11G"
"(2013 YS2)","19","23.3","38 - 170","5","10.346, 386","11.951, 114","2911","2020-09 [20.7]","2021-01 [130]","none","bK13Y02S"
"(2019 GK21)","6","25.6","13 - 58","5","10.339, 338","11.839, 298","2896","2023-04 [21.1]","none","none","bK19G21K"
"(2014 WF200)","3","27.4","5.8 - 26","8","9.913, 362","11.747, 306","2877","? 2030-11 [21.6] ?","none","none","bK14WK0F"
"(2016 WP3)","7","25.5","14 - 62","7","9.934, 354","11.781, 114","2860","? 2029-12 [23.8] ?","none","none","bK16W03P"
"(2017 FN127)","2","25.6","13 - 59","6","11.021, 378","11.914, 330","2836","? 2027-03 [22.7] ?","none","none","bK17FC7N"
"(1997 UR)","22","23.2","40 - 178","7","9.779, 386","11.969, 82","2823","? 2021-02 [23.3] ?","none","none","bJ97U00R"
"(2008 BX2)","21","23.6","33 - 148","1","11.119, 354","11.978, 290","2823","2020-02 [22.5]","2031-01 [14]","none","bK08B02X"
"(2018 AF4)","14","24.0","28 - 123","5","10.084, 378","11.949, 178","2818","2021-06 [23.8]","none","none","bK18A04F"
"(2011 GP59)","18","24.3","24 - 107","1","10.379, 362","11.911, 298","2811","2028-02 [20.3]","2028-04 [14]","none","bK11G59P"
"(2014 AD16)","7","27.4","5.8 - 26","4","10.478, 322","11.795, 242","2803","none","none","none","bK14A16D"
"(2007 TE71)","8","24.3","24 - 107","7","9.393, 362","11.884, 194","2798","? 2025-03 [22.6] ?","none","none","bK07T71E"
"(2007 YT56)","12","23.4","36 - 163","6","9.755, 370","11.980, 210","2784","? 2029-05 [23.7] ?","none","none","bK07Y56T"
"(2016 JJ17)","13","22.9","46 - 205","3","10.280, 402","11.987, 370","2780","2028-04 [22.9]","none","none","bK16J17J"
"(2019 FX)","8","25.7","12 - 55","7","9.314, 378","11.984, 82","2769","none","none","none","bK19F00X"
"(2010 XN)","15","24.2","25 - 112","1","10.335, 370","11.849, 346","2763","2022-11 [23.4]","2024-06 [190]","none","bK10X00N"
"(2011 CK50)","6","24.1","26 - 118","8","11.283, 450","11.967, 322","2761","? 2020-02 [20.8] ?","none","none","bK11C50K"
"(2016 EE195)","7","26.7","8.0 - 36","7","9.765, 370","11.912, 106","2722","? 2039-02 [19.9] ?","none","none","bK16EJ5E"
"(2013 FB8)","25","24.9","18 - 81","3","10.046, 338","11.877, 274","2705","2027-03 [24.0]","none","none","bK13F08B"
"(2005 JT1)","9","25.7","13 - 56","7","10.371, 314","11.891, 202","2683","? 2032-07 [22.9] ?","none","none","bK05J01T"
"(2000 OK8)","24","20.2","159 - 709","2","11.099, 426","11.984, 370","2669","2031-08 [22.7]","none","none","bK00O08K"
"(2014 WN69)","4","28.0","4.4 - 20","7","10.527, 450","11.766, 234","2654","none","none","none","bK14W69N"
"(2017 SO10)","7","24.6","21 - 94","6","9.943, 362","11.987, 330","2649","? 2022-08 [22.5] ?","none","none","bK17S10O"
"(2013 YB)","4","31.5","0.87 - 3.9","9","9.581, 370","11.951, 314","2646","none","none","none","bK13Y00B"
"(2000 SL10)","12","21.9","73 - 324","6","9.863, 330","11.920, 226","2645","2021-05 [22.0]","none","none","bK00S10L"
"(2014 UZ175)","4","27.9","4.6 - 20","7","10.492, 362","11.955, 130","2642","none","none","none","bK14UH5Z"
"(2010 FC)","13","24.0","28 - 123","6","10.172, 362","11.966, 138","2638","? 2030-08 [23.4] ?","none","none","bK10F00C"
"(2017 MB3)","9","25.4","14 - 65","4","10.114, 338","11.828, 138","2621","2024-05 [20.7]","2024-06 [6800]","2024-06 [190]","bK17M03B"
"(2016 PO)","11","25.1","17 - 74","7","9.718, 362","11.941, 170","2618","? 2029-01 [24.0] ?","none","none","bK16P00O"
"(2017 SS12)","6","27.1","6.6 - 30","6","10.064, 370","11.951, 322","2618","? 2028-03 [22.8] ?","none","none","bK17S12S"
"(2018 XV2)","1","25.8","12 - 54","8","9.384, 370","11.894, 138","2618","none","none","none","bK18X02V"
"(2013 ED68)","6","28.0","4.4 - 20","6","10.000, 314","11.737, 130","2616","? 2022-02 [18.3] ?","none","none","bK13E68D"
"(2013 XV8)","54","21.8","76 - 340","1","10.866, 394","11.995, 290","2616","2019-07 [22.0]","2039-02 [41]","none","bK13X08V"
"(2010 WD9)","17","23.7","32 - 142","5","10.392, 370","11.960, 218","2592","2023-09 [23.4]","none","none","bK10W09D"
"(2019 KC3)","3","22.7","50 - 223","5","9.160, 362","11.775, 202","2589","2019-07 [23.2]","none","none","bK19K03C"
"(2004 AD)","17","24.4","23 - 103","4","9.487, 354","11.959, 218","2588","2020-07 [22.4]","2028-01 [85]","none","bK04A00D"
"(2014 NL52)","21","23.6","33 - 148","5","9.380, 362","11.968, 210","2555","2021-12 [23.1]","none","none","bK14N52L"
"(2006 WV1)","7","25.9","11 - 51","7","11.386, 354","11.902, 250","2544","none","none","none","bK06W01V"
"518810 (2010 CF19)","45","21.7","80 - 356","0","9.449, 362","11.859, 322","2543","2022-04 [23.8]","none","none","a0518810"
"(2016 PD1)","10","23.7","32 - 142","5","9.297, 370","11.842, 122","2527","2019-07 [19.4]","2019-08 [930]","2019-08 [23]","bK16P01D"
"(2014 OA339)","6","24.4","23 - 103","7","10.606, 354","11.951, 306","2514","? 2023-07 [23.4] ?","none","none","bK14OX9A"
"354182 (2002 DU3)","40","20.7","126 - 564","0","9.422, 370","11.885, 330","2509","2019-08 [22.1]","2029-03 [77]","2040-03 [15]","a0354182"
"(2012 BO11)","13","26.0","11 - 49","7","10.925, 346","11.912, 282","2509","none","none","none","bK12B11O"
"(2018 XA5)","7","23.6","33 - 148","6","10.332, 426","11.976, 346","2501","2019-09 [22.8]","none","none","bK18X05A"
"(2019 AT13)","2","26.8","7.5 - 33","7","8.885, 178","11.857, 74","2491","none","none","none","bK19A13T"
"(2016 FR13)","8","25.1","17 - 74","7","10.131, 370","11.984, 170","2490","? 2039-03 [23.9] ?","none","none","bK16F13R"
"(2010 XF11)","8","25.3","15 - 68","8","9.754, 378","11.979, 322","2472","? 2027-11 [23.2] ?","none","none","bK10X11F"
"(2012 RM15)","7","24.5","22 - 98","6","10.150, 362","11.876, 338","2467","2027-01 [20.6]","2027-03 [550]","2027-03 [12]","bK12R15M"
"(2015 FW33)","14","25.8","12 - 54","7","9.192, 370","11.918, 114","2465","none","none","none","bK15F33W"
"(2017 FA65)","3","23.8","30 - 135","6","9.483, 370","11.993, 322","2459","? 2023-02 [22.3] ?","none","none","bK17F65A"
"(2013 RX73)","13","25.0","17 - 78","5","10.421, 418","11.968, 218","2458","2021-08 [22.9]","none","none","bK13R73X"
"(2010 VR139)","7","26.6","8.4 - 38","9","10.238, 450","11.989, 194","2453","none","none","none","bK10VD9R"
"(2014 KP2)","4","26.7","8.0 - 36","8","9.449, 370","11.815, 186","2450","? 2027-05 [21.0] ?","none","none","bK14K02P"
"(2004 RO111)","13","23.2","40 - 178","1","10.758, 402","11.921, 354","2434","2019-07 [22.0]","2034-05 [11]","2037-09 [13]","bK04RB1O"
"(2019 LW5)","2","25.4","15 - 65","7","9.159, 362","11.971, 106","2431","2019-07 [23.3]","none","none","bK19L05W"
"487583 (2015 FJ36)","35","22.2","63 - 282","1","10.854, 434","11.730, 378","2418","2020-03 [23.9]","2039-07 [27]","none","a0487583"
"(2017 BM123)","17","23.7","32 - 142","3","10.099, 354","11.737, 314","2401","2019-12 [17.5]","2020-02 [1200]","2020-03 [68]","bK17BC3M"
"(2014 TR)","3","27.2","6.3 - 28","8","10.503, 442","11.930, 194","2392","none","none","none","bK14T00R"
"(2008 WM61)","15","26.6","8.3 - 37","0","9.610, 370","11.856, 66","2389","2027-01 [23.8]","none","none","bK08W61M"
"(2016 RN41)","4","31.0","1.1 - 4.8","9","10.651, 386","11.942, 354","2383","none","none","none","bK16R41N"
"(2013 RS43)","6","27.0","6.9 - 31","7","10.239, 450","11.834, 186","2352","none","none","none","bK13R43S"
"(2016 GT)","7","26.0","11 - 49","7","10.202, 322","11.739, 202","2336","? 2024-11 [22.4] ?","none","none","bK16G00T"
"(2017 TJ6)","2","27.6","5.3 - 23","8","9.308, 362","11.967, 122","2317","none","none","none","bK17T06J"
"(2010 DL)","7","27.0","6.9 - 31","8","9.932, 354","11.949, 226","2316","none","none","none","bK10D00L"
"(2018 KC4)","1","26.3","10 - 44","8","10.390, 450","11.967, 410","2281","? 2027-12 [22.3] ?","none","none","bK18K04C"
"462959 (2011 DU)","81","21.0","110 - 491","0","10.413, 370","11.983, 330","2265","2019-12 [21.9]","2025-04 [6800]","2025-04 [420]","a0462959"
"(2016 HO)","9","25.7","13 - 56","5","9.196, 378","11.971, 58","2260","none","none","none","bK16H00O"
"(2011 BG24)","7","26.6","8.3 - 37","7","10.781, 450","11.985, 186","2258","none","none","none","bK11B24G"
"(2016 AH66)","4","25.9","11 - 51","8","10.642, 386","11.831, 298","2255","? 2034-10 [21.7] ?","none","none","bK16A66H"
"(2009 UX87)","12","25.3","15 - 68","7","9.329, 362","11.987, 186","2247","? 2040-09 [22.0] ?","none","none","bK09U87X"
"(2016 SC)","5","27.6","5.3 - 23","6","9.854, 402","11.894, 82","2247","none","none","none","bK16S00C"
"(2018 CS2)","5","25.5","14 - 62","7","10.692, 218","11.977, 146","2241","none","none","none","bK18C02S"
"(2018 KU2)","2","26.8","7.6 - 34","7","9.745, 346","11.828, 194","2168","none","none","none","bK18K02U"
"(2018 VT6)","4","25.3","15 - 68","8","10.115, 346","11.975, 154","2159","none","none","none","bK18V06T"
"(2003 QU5)","10","24.2","25 - 112","8","10.633, 314","11.962, 170","2151","? 2034-06 [18.8] ?","none","none","bK03Q05U"
"(2017 PZ26)","2","26.9","7.3 - 32","7","10.690, 402","11.974, 378","2150","? 2037-08 [20.6] ?","none","none","bK17P26Z"
"(2004 BH11)","8","24.1","26 - 118","8","9.832, 378","11.568, 322","2104","? 2023-06 [17.7] ?","none","none","bK04B11H"
"467336 (2002 LT38)","70","20.5","138 - 618","0","10.784, 354","11.864, 290","2090","2019-07 [22.2]","2023-06 [1.3e4]","2023-06 [260]","a0467336"
"(2015 BH92)","19","25.0","17 - 78","5","9.818, 402","11.954, 106","2088","2022-11 [23.4]","none","none","bK15B92H"
"523632 (2009 UX17)","55","21.5","87 - 390","0","10.501, 378","11.897, 338","2080","2022-06 [19.8]","none","none","a0523632"
"(2010 HX107)","15","23.6","33 - 148","1","10.132, 186","11.856, 114","2072","2020-04 [23.5]","none","2038-05 [26]","bK10HA7X"
"470975 (2009 SC15)","60","21.4","91 - 408","0","10.185, 370","11.933, 258","2058","2019-07 [20.6]","none","none","a0470975"
"(2015 XF55)","4","25.0","17 - 78","6","9.653, 362","11.945, 322","2052","? 2032-12 [23.8] ?","none","none","bK15X55F"
"(2016 VK6)","5","22.8","48 - 214","6","10.047, 370","11.961, 138","2050","2022-04 [23.7]","none","none","bK16V06K"
"(2005 EH94)","6","23.8","30 - 135","8","9.164, 370","11.915, 330","2045","? 2021-07 [20.6] ?","none","none","bK05E94H"
"(2018 CD3)","4","28.6","3.3 - 15","7","9.477, 346","11.915, 178","2022","none","none","none","bK18C03D"
"(2018 EZ9)","5","27.0","6.8 - 31","9","9.645, 362","11.861, 178","2017","? 2034-02 [23.1] ?","none","none","bK18E09Z"
"(2016 FB12)","4","26.0","11 - 49","8","9.508, 370","11.798, 122","1999","? 2036-03 [19.1] ?","none","none","bK16F12B"
"(2019 BJ2)","20","23.3","38 - 170","5","10.560, 354","11.981, 146","1995","2021-09 [22.6]","none","none","bK19B02J"
"(2019 FF)","2","26.3","10 - 44","7","10.898, 370","11.962, 314","1985","? 2023-03 [22.6] ?","none","none","bK19F00F"
"(2010 TK19)","17","24.9","18 - 81","4","9.720, 362","11.936, 314","1969","2031-09 [22.4]","2031-10 [54]","none","bK10T19K"
"(2015 XL55)","8","24.2","25 - 112","7","10.561, 378","11.890, 290","1960","? 2035-05 [20.5] ?","none","none","bK15X55L"
"(2018 NM)","6","26.4","9.1 - 41","6","10.010, 338","11.868, 138","1958","? 2033-06 [18.8] ?","none","none","bK18N00M"
"(2018 CB)","33","25.9","11 - 51","2","9.650, 354","11.753, 130","1956","2023-01 [23.6]","none","none","bK18C00B"
"(2015 VE106)","8","24.3","24 - 107","7","9.775, 370","11.787, 138","1948","? 2026-04 [24.0] ?","none","none","bK15VA6E"
"(2017 RB16)","4","25.6","13 - 59","7","10.861, 394","11.976, 370","1939","? 2021-04 [24.0] ?","none","none","bK17R16B"
"(2016 KO)","8","26.5","8.7 - 39","7","9.793, 362","11.961, 162","1931","? 2033-05 [20.2] ?","none","none","bK16K00O"
"(2017 YX4)","6","23.6","33 - 148","7","9.717, 362","11.773, 322","1931","? 2024-06 [23.6] ?","none","none","bK17Y04X"
"(2006 VP13)","11","23.6","33 - 148","8","10.087, 370","11.864, 170","1928","? 2025-04 [23.7] ?","none","none","bK06V13P"
"(2007 WZ4)","12","24.3","24 - 107","7","10.669, 362","11.927, 226","1925","? 2034-06 [23.7] ?","none","none","bK07W04Z"
"(2016 LH10)","6","25.2","16 - 71","8","10.525, 370","11.947, 330","1916","? 2025-12 [23.6] ?","none","none","bK16L10H"
"(2004 KG17)","7","27.1","6.6 - 30","7","9.950, 402","11.930, 106","1910","none","none","none","bK04K17G"
"(2017 DK34)","3","26.8","7.6 - 34","7","9.304, 370","11.806, 322","1910","none","none","none","bK17D34K"
"(2003 YN1)","7","24.9","18 - 81","8","10.574, 362","11.882, 202","1905","? 2021-01 [23.2] ?","none","none","bK03Y01N"
"(2009 KW2)","10","26.6","8.3 - 37","5","10.046, 402","11.930, 138","1894","none","none","none","bK09K02W"
"(2015 KJ)","8","23.6","33 - 148","7","9.434, 370","11.980, 330","1887","? 2025-10 [20.9] ?","none","none","bK15K00J"
"(2005 AZ28)","6","24.0","28 - 123","9","10.575, 410","11.987, 106","1882","? 2020-09 [20.9] ?","none","none","bK05A28Z"
"(2019 NG)","3","24.5","22 - 99","7","10.161, 362","11.963, 170","1881","2019-07 [21.5]","none","none","bK19N00G"
"(2017 WE28)","5","26.8","7.6 - 34","7","9.785, 386","11.877, 346","1880","? 2024-11 [23.0] ?","none","none","bK17W28E"
"(2006 MV1)","9","26.8","7.6 - 34","7","10.461, 370","11.965, 218","1871","none","none","none","bK06M01V"
"(2017 FO64)","2","25.9","11 - 51","7","10.187, 354","11.629, 114","1859","none","none","none","bK17F64O"
"(2017 HZ48)","3","25.2","16 - 71","7","9.910, 346","11.824, 154","1856","none","none","none","bK17H48Z"
"(2007 TT24)","6","27.0","6.9 - 31","9","10.752, 426","11.953, 194","1853","? 2026-08 [21.1] ?","none","none","bK07T24T"
"(2010 WB)","20","24.1","26 - 118","6","9.969, 370","11.964, 162","1851","? 2029-06 [23.7] ?","none","none","bK10W00B"
"(2015 FO34)","5","27.6","5.3 - 23","7","10.038, 394","11.969, 90","1847","none","none","none","bK15F34O"
"(2010 WT8)","18","21.9","73 - 324","0","10.635, 426","11.941, 354","1839","2020-10 [20.3]","2037-06 [12]","none","bK10W08T"
"(2015 OS79)","5","25.6","13 - 59","8","10.368, 394","11.996, 234","1833","none","none","none","bK15O79S"
"(2013 JR7)","6","26.8","7.6 - 34","7","9.186, 354","11.881, 162","1824","? 2020-04 [20.6] ?","none","none","bK13J07R"
"(2015 VR64)","10","27.4","5.8 - 26","6","10.241, 330","11.995, 162","1820","? 2034-01 [23.6] ?","none","none","bK15V64R"
"(2014 WR69)","4","25.0","17 - 78","8","10.033, 330","11.906, 258","1819","? 2022-10 [23.5] ?","none","none","bK14W69R"
"(2016 FU6)","3","28.9","2.9 - 13","7","10.266, 370","11.991, 314","1819","none","none","none","bK16F06U"
"518735 (2009 JL1)","49","21.0","110 - 491","0","9.971, 370","11.986, 170","1814","2022-02 [21.1]","none","none","a0518735"
"(2019 JP1)","2","27.4","5.8 - 26","8","9.982, 378","11.963, 82","1812","none","none","none","bK19J01P"
"(2000 WP19)","20","22.7","50 - 224","0","11.228, 354","11.921, 314","1802","2019-10 [20.3]","none","none","bK00W19P"
"(2015 YC18)","5","25.3","15 - 68","7","10.365, 346","11.936, 210","1801","? 2023-11 [21.4] ?","none","none","bK15Y18C"
"(2007 DD)","19","25.9","11 - 51","2","8.428, 450","11.820, 410","1799","none","none","none","bK07D00D"
"(2009 SJ18)","9","24.6","21 - 94","6","9.310, 362","11.935, 314","1784","none","none","none","bK09S18J"
"(2016 AX165)","18","23.0","44 - 195","4","9.806, 362","11.881, 330","1781","2020-10 [23.2]","2025-02 [650]","2025-02 [13]","bK16AG5X"
"(2015 FC)","11","26.6","8.3 - 37","7","9.346, 354","11.896, 170","1775","none","none","none","bK15F00C"
"(2009 FS32)","6","25.8","12 - 54","8","9.872, 354","11.963, 322","1772","? 2023-09 [22.8] ?","none","none","bK09F32S"
"(2015 YV20)","8","22.1","65 - 290","7","10.359, 178","11.964, 146","1769","2019-08 [23.9]","2023-05 [50]","none","bK15Y20V"
"(2019 DL)","2","25.3","15 - 67","7","10.101, 362","11.912, 314","1758","none","none","none","bK19D00L"
"(2015 YZ)","12","22.8","48 - 214","5","11.310, 410","11.975, 322","1746","2020-09 [23.1]","none","none","bK15Y00Z"
"(2008 VA15)","21","23.7","32 - 142","0","10.417, 418","11.978, 146","1745","2022-08 [22.1]","none","none","bK08V15A"
"(2010 VB)","19","25.6","13 - 59","5","10.547, 402","11.978, 370","1745","2025-08 [23.8]","none","none","bK10V00B"
"(2018 WG)","4","29.3","2.4 - 11","6","9.720, 450","11.856, 362","1742","none","none","none","bK18W00G"
"(2018 AJ)","11","24.5","22 - 98","2","9.542, 370","11.843, 90","1740","2039-11 [21.3]","none","none","bK18A00J"
"(2019 AR2)","23","24.3","24 - 107","5","9.497, 370","11.962, 74","1737","2025-09 [23.4]","2026-01 [30]","none","bK19A02R"
"(2006 EW52)","8","22.1","66 - 296","6","10.432, 370","11.882, 322","1734","? 2020-04 [20.2] ?","none","none","bK06E52W"
"(2004 WC1)","10","26.1","10 - 47","7","9.966, 362","11.950, 162","1719","? 2027-10 [21.8] ?","none","none","bK04W01C"
"(2019 ES)","5","25.3","15 - 69","7","10.523, 226","11.927, 170","1715","? 2024-06 [23.1] ?","none","none","bK19E00S"
"(2018 DR)","3","27.3","6.0 - 27","6","9.331, 362","11.994, 138","1709","none","none","none","bK18D00R"
"(2017 RV2)","11","26.2","10 - 45","6","9.873, 314","11.855, 138","1704","none","none","none","bK17R02V"
"(2014 BG25)","8","25.3","15 - 68","6","11.054, 346","11.973, 322","1698","? 2031-01 [19.6] ?","none","none","bK14B25G"
"(2017 FP91)","10","25.5","14 - 62","7","10.140, 362","11.952, 98","1698","none","none","none","bK17F91P"
